	precision	recall	f1-score	support
Switch	0.9691119691119691	0.9766536964980544	0.9728682170542635	257.0
Checkbox	0.9970355731225297	0.9931102362204725	0.995069033530572	1016.0
Card	0.9965635738831615	0.9994256174612292	0.9979925437338686	1741.0
Icon	0.9983818770226537	0.9986512004316158	0.9985165205664194	3707.0
Button	0.9990534784666352	0.9971658006613132	0.9981087470449174	2117.0
accuracy	0.9971713057252772	0.9971713057252772	0.9971713057252772	0.9971713057252772
macro avg	0.9920292943213898	0.993001310254537	0.9925110123860081	8838.0
weighted avg	0.9971786526953714	0.9971713057252772	0.9971734835623985	8838.0
